Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,FraudFound_P
Nov,4,Thursday,Pontiac,Urban,Tuesday,Nov,5,Male,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8333,5,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
Dec,1,Thursday,Toyota,Urban,Monday,Dec,4,Female,Married,49,Third Party,Sedan - Collision,Sedan,30000 to 39000,8334,10,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
Dec,1,Thursday,Toyota,Urban,Friday,Dec,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,more than 69000,8335,11,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,1
Aug,4,Friday,Saturn,Urban,Friday,Sep,5,Male,Married,75,Policy Holder,Sedan - All Perils,Sedan,60000 to 69000,8336,1,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Jul,4,Friday,Toyota,Urban,Tuesday,Oct,1,Male,Married,61,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8337,9,400,4,more than 30,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Jul,3,Saturday,VW,Urban,Tuesday,Oct,1,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,more than 69000,8338,7,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,No,External,more than 5,4 to 8 years,2 vehicles,1995,All Perils,0
Dec,3,Monday,Honda,Urban,Monday,Jan,1,Male,Single,24,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,8339,4,400,1,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Feb,4,Tuesday,Honda,Urban,Wednesday,Mar,1,Male,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,8340,14,700,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
Apr,4,Saturday,Toyota,Urban,Tuesday,May,4,Male,Married,52,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8341,6,400,4,more than 30,more than 30,none,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
May,5,Monday,Pontiac,Urban,Thursday,Jun,3,Female,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8342,15,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0
Aug,4,Thursday,Pontiac,Urban,Tuesday,Sep,4,Female,Married,60,Third Party,Sedan - Liability,Sport,20000 to 29000,8343,10,400,1,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,0
Aug,3,Friday,Mazda,Urban,Monday,Aug,4,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8344,10,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
Aug,3,Tuesday,Pontiac,Urban,Thursday,Aug,3,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8345,15,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Sep,4,Saturday,Honda,Urban,Monday,Sep,4,Female,Single,22,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8346,10,400,2,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
Oct,3,Tuesday,Toyota,Urban,Wednesday,Oct,3,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,more than 69000,8347,12,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
Nov,5,Wednesday,Toyota,Urban,Wednesday,Dec,3,Female,Widow,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,8348,3,400,3,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
Nov,2,Thursday,Dodge,Urban,Thursday,Nov,3,Male,Married,79,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8349,3,400,1,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Dec,2,Friday,Pontiac,Rural,Friday,Dec,3,Male,Married,70,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8350,13,400,1,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Dec,1,Tuesday,Toyota,Urban,Monday,Dec,2,Male,Married,51,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8351,16,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
May,1,Friday,Honda,Urban,Friday,May,3,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8352,15,400,2,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
Dec,1,Friday,Honda,Urban,Friday,Dec,3,Female,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8353,11,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,1
Sep,1,Saturday,Pontiac,Urban,Monday,Sep,1,Male,Single,59,Policy Holder,Sport - All Perils,Sport,20000 to 29000,8354,10,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
Oct,5,Monday,Mazda,Urban,Friday,Nov,1,Female,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8355,1,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
Nov,1,Wednesday,Honda,Urban,Thursday,Nov,1,Female,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8356,9,400,1,more than 30,more than 30,2 to 4,2 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
Jul,3,Thursday,Pontiac,Urban,Monday,Jul,4,Male,Married,55,Policy Holder,Sedan - Liability,Sport,40000 to 59000,8357,2,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
Jul,1,Wednesday,Mazda,Urban,Wednesday,Jul,2,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8358,1,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0
Dec,1,Saturday,Toyota,Urban,Saturday,Dec,3,Male,Married,52,Third Party,Sedan - Collision,Sedan,20000 to 29000,8359,5,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,Collision,0
Apr,4,Friday,Toyota,Urban,Wednesday,Apr,4,Male,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,8360,7,400,2,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
Nov,1,Wednesday,Accura,Urban,Thursday,Nov,1,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8361,7,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
Oct,5,Friday,Pontiac,Urban,Friday,Nov,4,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,8362,2,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
Dec,1,Saturday,Toyota,Urban,Monday,Dec,2,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8363,14,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,1
Aug,5,Tuesday,Pontiac,Urban,Wednesday,Aug,5,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8364,15,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
Aug,2,Saturday,Toyota,Urban,Monday,Aug,4,Male,Married,37,Third Party,Sedan - Collision,Sedan,20000 to 29000,8365,13,500,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,2 to 3 years,3 to 4,1995,Collision,1
Aug,1,Tuesday,Pontiac,Urban,Wednesday,Aug,1,Male,Married,59,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8366,11,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Dec,1,Sunday,Chevrolet,Urban,Thursday,Dec,3,Male,Single,32,Policy Holder,Utility - All Perils,Utility,more than 69000,8367,11,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,1
May,4,Wednesday,VW,Urban,Wednesday,May,5,Male,Married,64,Policy Holder,Sedan - Liability,Sport,60000 to 69000,8368,4,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,Yes,No,External,more than 5,no change,1 vehicle,1995,Liability,0
Jun,5,Wednesday,Pontiac,Urban,Friday,Jul,2,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8369,2,400,3,8 to 15,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0
Mar,5,Wednesday,Ford,Urban,Friday,Mar,5,Female,Married,38,Third Party,Sedan - Liability,Sport,60000 to 69000,8370,5,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
Mar,2,Wednesday,Pontiac,Urban,Thursday,Mar,3,Male,Married,58,Third Party,Sedan - Liability,Sport,less than 20000,8371,9,700,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,0
Sep,4,Wednesday,Pontiac,Urban,Monday,Oct,1,Female,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8372,14,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
Jan,2,Wednesday,Chevrolet,Urban,Thursday,Jan,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8373,5,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,1 year,1 vehicle,1995,Liability,0
May,4,Tuesday,Ford,Urban,Wednesday,May,4,Male,Married,48,Third Party,Sedan - Liability,Sport,40000 to 59000,8374,13,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
May,3,Sunday,Toyota,Urban,Monday,May,3,Female,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,8375,9,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
May,3,Friday,Toyota,Urban,Monday,May,4,Male,Married,45,Policy Holder,Sedan - Liability,Sport,more than 69000,8376,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
Jul,1,Tuesday,Toyota,Urban,Friday,Jul,2,Male,Single,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8377,2,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
Dec,1,Sunday,Pontiac,Urban,Friday,Dec,3,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8378,1,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,1
Aug,2,Sunday,VW,Urban,Tuesday,Aug,2,Male,Married,40,Policy Holder,Sedan - Liability,Sport,40000 to 59000,8379,13,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
Sep,3,Saturday,Honda,Urban,Wednesday,Sep,4,Male,Single,28,Third Party,Sport - Collision,Sport,more than 69000,8380,10,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,Collision,0
Sep,5,Wednesday,Mercury,Urban,Monday,Oct,1,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8381,10,400,1,more than 30,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Oct,5,Monday,Honda,Urban,Monday,Oct,5,Male,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8382,15,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
Jan,2,Thursday,Toyota,Urban,Friday,Jan,2,Male,Married,47,Third Party,Sedan - Liability,Sport,20000 to 29000,8383,1,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
Jan,3,Saturday,Accura,Urban,Wednesday,Jan,3,Male,Married,39,Third Party,Sedan - All Perils,Sedan,more than 69000,8384,2,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Jan,3,Friday,Chevrolet,Urban,Monday,Jan,4,Male,Married,40,Third Party,Sedan - Collision,Sedan,more than 69000,8385,14,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8386,3,400,2,more than 30,more than 30,more than 4,6 years,26 to 30,Yes,No,External,none,no change,1 vehicle,1995,Collision,0
May,4,Sunday,Toyota,Urban,Tuesday,May,4,Male,Single,32,Third Party,Sedan - Liability,Sport,20000 to 29000,8387,13,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
Sep,4,Monday,Mazda,Urban,Monday,Sep,4,Male,Married,79,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8388,14,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
Sep,4,Monday,Toyota,Urban,Monday,Oct,1,Male,Single,35,Third Party,Sedan - Liability,Sport,20000 to 29000,8389,14,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
Sep,4,Wednesday,Dodge,Urban,Sunday,Oct,1,Female,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8390,7,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
Sep,5,Thursday,Honda,Urban,Thursday,Sep,5,Female,Single,40,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8391,14,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
Oct,1,Thursday,Pontiac,Urban,Monday,Oct,2,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8392,2,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
Oct,1,Tuesday,Pontiac,Urban,Friday,Oct,1,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8393,14,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,0
Oct,1,Sunday,Pontiac,Urban,Monday,Oct,1,Female,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8394,16,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
Sep,5,Saturday,Chevrolet,Urban,Monday,Oct,1,Female,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8395,8,400,2,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
Dec,1,Monday,Toyota,Urban,Monday,Dec,1,Female,Married,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8396,1,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
Jun,2,Thursday,Pontiac,Urban,Sunday,Jun,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,8397,13,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
Jun,1,Friday,VW,Urban,Monday,Jun,1,Male,Single,27,Policy Holder,Sedan - Liability,Sport,more than 69000,8398,7,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
May,5,Wednesday,Honda,Urban,Friday,Jun,1,Male,Married,57,Third Party,Sport - Collision,Sport,more than 69000,8399,10,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,0
Jan,4,Tuesday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,59,Third Party,Sedan - Collision,Sedan,20000 to 29000,8400,11,400,2,more than 30,more than 30,1,6 years,51 to 65,Yes,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
Jan,4,Tuesday,Pontiac,Urban,Friday,Jan,4,Female,Married,54,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8401,16,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,All Perils,0
Jan,4,Saturday,Honda,Urban,Tuesday,Jan,4,Male,Married,39,Third Party,Sedan - Collision,Sedan,20000 to 29000,8402,14,700,1,more than 30,more than 30,1,7 years,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1995,Collision,0
Jan,3,Friday,Dodge,Urban,Tuesday,Jan,4,Male,Single,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,8403,6,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
Jan,3,Monday,Honda,Urban,Friday,Jan,4,Male,Married,45,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8404,7,400,2,none,15 to 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Nov,3,Thursday,Chevrolet,Rural,Friday,Nov,3,Male,Married,46,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8405,10,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,0
Oct,2,Friday,Honda,Urban,Wednesday,Nov,1,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,8406,10,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1995,Collision,0
Sep,5,Thursday,Toyota,Urban,Friday,Jan,4,Male,Single,60,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8407,16,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
Dec,1,Tuesday,Honda,Urban,Thursday,Dec,3,Male,Married,52,Third Party,Sedan - All Perils,Sedan,30000 to 39000,8408,8,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Sep,1,Saturday,Toyota,Urban,Monday,Oct,1,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8409,11,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,0
Jun,1,Saturday,Chevrolet,Urban,Monday,Jun,1,Male,Single,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8410,12,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
May,4,Sunday,Mazda,Urban,Wednesday,Jun,1,Male,Single,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8411,7,400,2,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision,0
May,3,Monday,Accura,Urban,Thursday,May,3,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,more than 69000,8412,5,400,2,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
Mar,3,Tuesday,Pontiac,Urban,Wednesday,Jun,3,Female,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8413,14,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
Mar,5,Wednesday,Toyota,Urban,Thursday,Nov,3,Female,Married,36,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8414,1,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
Oct,3,Tuesday,Mazda,Urban,Tuesday,Oct,3,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8415,7,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
Jun,5,Thursday,Mazda,Urban,Tuesday,Jul,1,Female,Married,33,Third Party,Sedan - Liability,Sport,20000 to 29000,8416,8,500,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1995,Liability,0
Apr,3,Wednesday,Toyota,Urban,Tuesday,May,1,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8417,16,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
Apr,2,Sunday,Mazda,Urban,Thursday,Jun,2,Male,Single,23,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,8418,13,400,2,more than 30,more than 30,1,6 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Jul,3,Friday,Accura,Urban,Thursday,Jul,4,Female,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8419,13,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
Jul,1,Sunday,Honda,Urban,Wednesday,Jul,1,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8420,6,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
Feb,1,Wednesday,Chevrolet,Urban,Monday,Feb,1,Female,Married,43,Third Party,Sedan - Collision,Sedan,20000 to 29000,8421,1,400,1,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0
Jan,5,Monday,Toyota,Urban,Tuesday,Jan,5,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8422,4,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability,0
Jan,5,Saturday,Toyota,Urban,Thursday,Feb,1,Male,Single,31,Policy Holder,Sedan - Liability,Sport,more than 69000,8423,3,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
Dec,5,Tuesday,Pontiac,Urban,Wednesday,Jun,5,Male,Married,80,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,8424,9,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Collision,0
Sep,2,Saturday,Toyota,Urban,Wednesday,Sep,3,Male,Married,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,8425,13,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
Sep,2,Monday,Honda,Urban,Monday,Sep,2,Male,Single,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,8426,2,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
Oct,1,Tuesday,Chevrolet,Urban,Monday,Oct,2,Male,Married,54,Third Party,Sedan - Collision,Sedan,20000 to 29000,8427,4,400,1,more than 30,more than 30,1,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
Nov,2,Thursday,Mazda,Urban,Thursday,Nov,4,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8428,6,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
Nov,1,Friday,Toyota,Urban,Tuesday,Nov,2,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,8429,14,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
Oct,5,Sunday,Toyota,Rural,Thursday,Nov,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,more than 69000,8430,13,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
Nov,5,Wednesday,Pontiac,Urban,Monday,Jan,5,Male,Married,56,Policy Holder,Sedan - All Perils,Sedan,less than 20000,8431,7,400,3,more than 30,more than 30,1,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
Jan,4,Tuesday,Honda,Urban,Tuesday,Jan,4,Female,Widow,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,8432,6,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,0
Apr,5,Saturday,Accura,Rural,Wednesday,May,1,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,8433,3,700,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
Jul,3,Thursday,Pontiac,Urban,Wednesday,Jul,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,more than 69000,8434,13,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
Oct,3,Sunday,Mazda,Urban,Tuesday,Oct,3,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,8435,15,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
Oct,2,Friday,Chevrolet,Urban,Tuesday,Oct,3,Male,Married,40,Policy Holder,Utility - Collision,Utility,more than 69000,8436,9,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1995,Collision,0
Oct,3,Saturday,Chevrolet,Urban,Monday,Oct,3,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8437,13,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
Jun,3,Wednesday,Pontiac,Urban,Wednesday,Jun,3,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,8438,16,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0
